"id","PID","ucivit_id","date.time","age","gender","education","alarm","fire","fractions","percent","tip","shirt","newspaper","prob1","prob2","howoften","input1","input2","input3","input4","input5","input6","sub_n1","sub_n2","numeracy","baserate","baserate_avg","true_positive","true_positive_avg","false_alarm","false_alarm_avg","correct_answer","given_answer","numerical_format","condition","correctness","bias_error","answer1","answer2","amazon_codex"
13,2,"","2018-07-18 15:51:24.671097",51,"f",2,2,2,3,5,5,5,2,4,4,3,20,68,35,NA,NA,NA,4.5,3.25,3.88,0.2,-1,0.68,-1,0.35,-1,0.327,0.75,"probability",2,0,0.360513510731414,75,NA,"PGLXY4"
14,1,"","2018-07-18 15:51:30.254407",47,"f",3,3,2,2,2,2,2,4,2,5,3,10,100,95,100,30,100,2,3.5,2.75,0.1,-1,0.95,-1,0.3,-1,0.26,0.1,"frequency",1,0,0.414973347970818,95,1000,"I22QQA"
15,5,"","2018-07-18 15:51:41.401495",40,"f",3,2,2,4,4,4,4,4,4,4,3,1,10,1,10,1,10,4,3.75,3.88,0.1,-1,0.1,-1,0.1,-1,0.1,0.01,"frequency",1,0,1,10,1000,"AKOGZF"
16,3,"","2018-07-18 15:51:53.830377",52,"f",4,3,1,4,4,6,5,6,6,1,2,1,10000,99,100,95,100,4.75,3.75,4.25,0,-1,0.99,-1,0.95,-1,0,0,"frequency",1,1,0,1,1000,"M4NWGD"
17,5,"","2018-07-18 15:51:59.306239",35,"m",2,1,1,5,5,4,5,6,6,1,1,5,50,50,NA,NA,NA,4.75,3.5,4.13,0.05,-1,0.5,-1,0.5,-1,0.05,0.03,"probability",2,0,0.221848749616356,3,NA,"KZH2YS"
18,12,"","2018-07-18 15:52:21.623322",22,"f",2,3,2,1,2,3,1,2,6,1,3,20,90,50,NA,NA,NA,1.75,3,2.38,0.2,-1,0.9,-1,0.5,-1,0.31,0.9,"probability",2,0,0.462880815605052,90,NA,"21MMIN"
19,13,"","2018-07-18 15:52:30.425117",25,"m",4,2,1,6,6,6,6,6,6,6,1,7,8,11,NA,NA,NA,6,4.75,5.38,0.07,-1,0.08,-1,0.11,-1,0.052,0.25,"probability",2,0,0.681936665037238,25,NA,"FZXGS0"
20,3,"","2018-07-18 15:52:32.799181",69,"f",4,3,2,6,6,6,6,5,4,5,1,10,90,10,NA,NA,NA,6,3.75,4.88,0.1,-1,0.9,-1,0.1,-1,0.5,0.85,"probability",2,0,0.230448921378274,85,NA,"GAGML7"
21,1,"","2018-07-18 15:52:53.213334",19,"f",2,4,2,5,5,5,5,6,6,1,1,5,100,95,100,80,100,5,3.5,4.25,0.05,-1,0.95,-1,0.8,-1,0.059,0.06,"frequency",1,1,0.00729923874149942,48,808,"1X5IBQ"
22,1,"","2018-07-18 15:52:59.293224",36,"m",3,2,1,5,5,6,5,6,5,2,1,1,100,1,10,9,10,5.25,3.5,4.38,0.01,-1,0.1,-1,0.9,-1,0.001,0,"frequency",1,1,0,1,892,"S0O4WM"
23,6,"","2018-07-18 15:53:38.549919",33,"m",4,2,3,6,6,5,5,4,5,4,1,1,10,1,100,6,10,5.5,3.5,4.5,0.1,-1,0.01,-1,0.6,-1,0.002,0.25,"frequency",1,0,2.09691001300806,1,4,"M5T4AV"
24,8,"","2018-07-18 15:53:46.585615",55,"f",3,2,1,4,4,4,4,6,5,2,1,5,100,15,100,1,100,4,3.5,3.75,0.05,-1,0.15,-1,0.01,-1,0.441,0.05,"frequency",1,0,0.94546858513182,50,1000,"7I9XIN"
25,16,"null","2018-07-18 15:54:05.289321",35,"f",3,2,1,4,6,6,6,6,6,1,1,1,20,1,20,20,30,5.5,3.5,4.5,0.05,-1,0.05,-1,0.667,-1,0.004,0.5,"frequency",1,0,2.09691001300806,50,100,"KTBAHX"
26,11,"","2018-07-18 15:54:12.180113",24,"f",3,5,1,6,6,6,6,5,6,1,1,7,5,95,NA,NA,NA,6,3.25,4.63,0.07,-1,0.05,-1,0.95,-1,0.004,0.05,"probability",2,0,1.09691001300806,5,NA,"7N5UL5"
27,9,"","2018-07-18 15:54:31.429414",57,"f",3,2,2,1,2,3,4,2,1,1,2,10,10,15,NA,NA,NA,2.5,1.5,2,0.1,-1,0.1,-1,0.15,-1,0.069,0.1,"probability",2,0,0.161150909262745,10,NA,"F2CCP3"
28,11,"","2018-07-18 15:54:33.548979",33,"f",4,3,3,4,4,4,5,4,4,2,2,20,80,20,NA,NA,NA,4.25,3,3.63,0.2,-1,0.8,-1,0.2,-1,0.5,0.8,"probability",2,0,0.204119982655925,80,NA,"Z0OK4G"
29,6,"","2018-07-18 15:54:54.370676",44,"f",2,3,1,5,5,6,6,6,6,6,1,10,100,95,100,5,100,5.5,4.75,5.13,0.1,-1,0.95,-1,0.05,-1,0.679,0.1,"frequency",1,0,0.831869774280502,100,1000,"FQ5WRW"
30,27,"","2018-07-18 15:55:46.159229",23,"f",2,3,2,2,2,1,2,2,2,2,4,1,5,1,2,1,4,1.75,2.5,2.13,0.2,-1,0.5,-1,0.25,-1,0.333,0.33,"frequency",1,1,0.0039302936284324,20,60,"EJO60L"
31,18,"","2018-07-18 15:57:08.189361",50,"f",2,2,1,1,1,5,5,2,1,6,5,1,1000,950,1000,50,1000,3,3.5,3.25,0.001,-1,0.95,-1,0.05,-1,0.019,0,"frequency",1,0,0,1,1000,"9JBQAI"
32,22,"null","2018-07-18 15:57:30.697994",26,"m",3,2,1,4,4,5,5,5,5,5,1,2,100,50,100,50,100,4.5,4,4.25,0.02,-1,0.5,-1,0.5,-1,0.02,0.01,"frequency",1,1,0.301029995663981,10,1000,"OTF2JG"
33,30,"","2018-07-18 15:58:01.713691",38,"f",2,2,2,4,5,5,6,4,2,1,1,1,5000,1,10000,3,200,5,2,3.5,0,-1,0,-1,0.015,-1,0,0.99,"frequency",1,0,0,99,100,"LW53EU"
34,1,"3a03596793b42d62","2018-07-18 15:58:06.830802",55,"m",3,2,2,5,5,6,6,6,5,5,1,6,96,27,NA,NA,NA,5.5,4.25,4.88,0.06,-1,0.96,-1,0.27,-1,0.185,0.96,"probability",2,0,0.715099504636555,96,NA,"Q3DHIW"
35,26,"","2018-07-18 15:58:11.859838",34,"m",2,2,2,6,6,6,6,6,6,1,1,10,10,90,NA,NA,NA,6,3.5,4.75,0.1,-1,0.1,-1,0.9,-1,0.012,0.1,"probability",2,0,0.920818753952375,10,NA,"CVZURL"
36,12,"","2018-07-18 15:58:30.540447",41,"m",4,3,3,5,5,5,5,5,4,2,1,5,200,20,100,90,100,5,3,4,0.025,-1,0.2,-1,0.9,-1,0.006,0.01,"frequency",1,1,0.221848749616356,5,903,"EF6LRV"
37,18,"","2018-07-18 15:58:32.559846",32,"m",3,2,2,2,3,2,3,3,5,2,3,1,900,1,10000,1,1000,2.5,3.25,2.88,0.001,-1,0,-1,0.001,-1,0,0,"frequency",1,1,0,1,999,"AMAH2D"
38,31,"","2018-07-18 15:59:36.721802",29,"f",4,5,4,6,6,4,6,5,3,5,1,20,30,50,55,25,35,5.5,3.5,4.5,0.667,-1,0.909,-1,0.714,-1,0.718,0.67,"frequency",1,0,0.0300496415414739,100,150,"1BDSBG"
39,32,"","2018-07-18 16:00:31.124052",22,"f",2,2,3,5,4,4,4,5,1,6,4,20,10,0,NA,NA,NA,4.25,4,4.13,0.2,-1,0.1,-1,0,-1,1,0,"probability",2,0,0,0,NA,"Q9X411"
40,31,"","2018-07-18 16:00:36.193925",36,"f",3,4,4,4,4,5,3,5,5,2,2,20,70,30,NA,NA,NA,4,3.5,3.75,0.2,-1,0.7,-1,0.3,-1,0.368,0.7,"probability",2,0,0.279250221340739,70,NA,"0YKDFJ"
41,31,"null","2018-07-18 16:00:53.941752",23,"m",3,2,1,4,5,5,5,6,6,1,1,20,30,70,NA,NA,NA,4.75,3.5,4.13,0.2,-1,0.3,-1,0.7,-1,0.097,0.2,"probability",2,0,0.314258261397736,20,NA,"JT2YRU"
42,42,"","2018-07-18 16:01:46.464857",32,"m",3,3,3,6,6,4,4,5,5,5,2,5,10,15,NA,NA,NA,5,4.25,4.63,0.05,-1,0.1,-1,0.15,-1,0.034,0.5,"probability",2,0,1.16749108729376,50,NA,"KQ34LA"
43,30,"","2018-07-18 16:01:51.689448",41,"m",2,5,4,5,5,5,5,5,6,3,1,60,65,45,NA,NA,NA,5,3.75,4.38,0.6,-1,0.65,-1,0.45,-1,0.684,0.45,"probability",2,0,0.181843587944773,45,NA,"2DZA6W"
44,42,"","2018-07-18 16:03:09.832174",28,"f",3,4,2,5,5,5,6,4,5,2,2,10,10,90,NA,NA,NA,5.25,3.25,4.25,0.1,-1,0.1,-1,0.9,-1,0.012,0.25,"probability",2,0,1.31875876262441,25,NA,"Z8KZMV"
45,19,"","2018-07-18 16:04:23.267687",27,"m",3,4,2,5,5,5,5,4,2,4,3,2,10,2,10,8,10,5,3.25,4.13,0.2,-1,0.2,-1,0.8,-1,0.059,0.06,"frequency",1,1,0.00729923874149942,40,680,"ZD1GBC"
46,36,"","2018-07-18 16:04:24.654127",36,"f",3,2,1,3,5,6,6,4,3,1,3,1,4,95,100,98,100,5,2.75,3.88,0.25,-1,0.95,-1,0.98,-1,0.244,0.25,"frequency",1,1,0.0105501823333081,25,100,"4X38IS"
47,42,"","2018-07-18 16:05:52.253307",37,"f",2,4,1,2,3,4,4,3,3,4,3,20,40,65,NA,NA,NA,3.25,3.25,3.25,0.2,-1,0.4,-1,0.65,-1,0.133,0.4,"probability",2,0,0.478208350360877,40,NA,"GMU9K0"
48,43,"","2018-07-18 16:08:37.512492",56,"m",3,3,2,5,5,6,6,4,5,1,1,1,1000,999,1000,1,10,5.5,2.75,4.13,0.001,-1,0.999,-1,0.1,-1,0.01,0.01,"frequency",1,1,0,1,101,"7F9FAD"
49,47,"b6942984295040af","2018-07-18 16:10:00.768752",23,"m",3,4,1,6,6,6,6,5,6,1,1,5,74,90,NA,NA,NA,6,3.25,4.63,0.05,-1,0.74,-1,0.9,-1,0.041,0.04,"probability",2,1,0.0107238653917731,4,NA,"WXXV4Q"
50,48,"","2018-07-18 16:11:08.038053",37,"f",3,3,2,5,5,5,5,3,3,1,2,5,80,40,NA,NA,NA,5,2.25,3.63,0.05,-1,0.8,-1,0.4,-1,0.095,0.16,"probability",2,0,0.226396377367077,16,NA,"7120QP"
51,49,"","2018-07-18 16:11:19.650469",30,"m",4,5,3,5,5,6,4,5,5,6,1,27,15,25,NA,NA,NA,5,4.25,4.63,0.27,-1,0.15,-1,0.25,-1,0.182,0.3,"probability",2,0,0.217049866734588,30,NA,"CSH49J"
52,48,"","2018-07-18 16:11:22.122149",34,"f",3,2,1,4,5,6,6,5,2,1,2,50,25,75,NA,NA,NA,5.25,2.5,3.88,0.5,-1,0.25,-1,0.75,-1,0.25,0.25,"probability",2,1,0,25,NA,"KMJCRG"
53,49,"","2018-07-18 16:12:34.249555",26,"f",4,3,2,6,6,5,6,6,3,5,2,15,95,5,NA,NA,NA,5.75,4,4.88,0.15,-1,0.95,-1,0.05,-1,0.77,0.95,"probability",2,0,0.0912328801163658,95,NA,"IMKT8J"
54,54,"","2018-07-18 16:20:16.698189",21,"m",3,1,1,2,3,3,2,3,2,1,2,25,35,45,NA,NA,NA,2.5,2,2.25,0.25,-1,0.35,-1,0.45,-1,0.206,0.68,"probability",2,0,0.518641692337083,68,NA,"J2NEFF"
55,54,"d100198a4e6f9710","2018-07-18 16:20:45.638278",29,"m",4,3,3,5,4,4,4,5,2,2,3,27,27,27,NA,NA,NA,4.25,3,3.63,0.27,-1,0.27,-1,0.27,-1,0.27,0.73,"probability",2,0,0.431959095961468,73,NA,"MMFGAN"
56,54,"","2018-07-18 16:21:45.632059",22,"f",2,3,1,4,4,5,6,5,5,1,2,30,100,92,NA,NA,NA,4.75,3.25,4,0.3,-1,1,-1,0.92,-1,0.318,0.3,"probability",2,0,0.0253058652647703,30,NA,"2Z33ZG"
57,54,"","2018-07-18 16:22:04.817568",61,"f",2,3,2,2,5,6,6,6,6,1,2,50,95,5,NA,NA,NA,4.75,3.75,4.25,0.5,-1,0.95,-1,0.05,-1,0.95,0.95,"probability",2,1,0,95,NA,"UJNUT8"
58,55,"","2018-07-18 16:27:11.436726",49,"m",3,2,1,5,6,6,6,5,5,5,1,2,90,1,NA,NA,NA,5.75,4,4.88,0.02,-1,0.9,-1,0.01,-1,0.647,0.9,"probability",2,0,0.143338228770624,90,NA,"H778DW"
59,58,"","2018-07-18 16:29:00.967901",43,"f",3,4,1,5,5,5,5,5,5,5,2,5,99,5,NA,NA,NA,5,4.25,4.63,0.05,-1,0.99,-1,0.05,-1,0.51,0.99,"probability",2,0,0.288065018499614,99,NA,"990QBJ"
60,59,"","2018-07-18 16:30:18.667028",38,"m",3,3,1,6,5,4,6,6,1,2,2,1,100,1,100,1,100,5.25,2.75,4,0.01,-1,0.01,-1,0.01,-1,0.01,0.25,"frequency",1,0,1.39794000867204,1,4,"TFVKYU"
61,59,"d0efd1c7a18a2378","2018-07-18 16:31:26.869769",18,"m",3,3,1,6,6,6,6,6,6,1,1,2,98,5,NA,NA,NA,6,3.5,4.75,0.02,-1,0.98,-1,0.05,-1,0.286,0.95,"probability",2,0,0.521357572159805,95,NA,"321SWX"
62,61,"null","2018-07-18 16:33:17.494276",28,"m",3,1,1,2,5,3,6,6,5,2,2,1,30,80,NA,NA,NA,4,3.75,3.88,0.01,-1,0.3,-1,0.8,-1,0.004,0.8,"probability",2,0,2.30102999566398,80,NA,"FLBSFR"
63,59,"","2018-07-18 16:33:35.720493",24,"m",3,3,1,3,5,5,3,5,2,4,3,30,100,5,100,70,100,4,3.5,3.75,0.3,-1,0.05,-1,0.7,-1,0.03,0.03,"frequency",1,1,0,30,1000,"E541EQ"
64,60,"","2018-07-18 16:35:01.931131",34,"f",3,2,3,5,4,3,3,5,4,2,2,5,50,10,90,50,100,3.75,3.25,3.5,0.1,-1,0.111,-1,0.5,-1,0.024,0.46,"frequency",1,0,1.28254658996997,461,1000,"9GXVWE"
65,62,"","2018-07-18 16:35:15.630603",21,"f",3,3,3,4,4,4,4,4,4,4,3,27,40,36,NA,NA,NA,4,3.75,3.88,0.27,-1,0.4,-1,0.36,-1,0.291,0.27,"probability",2,0,0.0325292248269199,27,NA,"BV9B1U"
66,66,"","2018-07-18 16:42:34.586643",29,"f",3,3,2,3,3,3,3,4,3,2,3,15,25,75,NA,NA,NA,3,3,3,0.15,-1,0.25,-1,0.75,-1,0.056,0.5,"probability",2,0,0.950781977329818,50,NA,"Z8TOOX"
67,66,"","2018-07-18 16:48:48.899259",54,"m",2,2,1,5,6,6,6,6,5,2,2,40,100,85,100,15,100,5.75,3.75,4.75,0.4,-1,0.85,-1,0.15,-1,0.791,0.8,"frequency",1,1,0.00491350349426708,80,100,"PZ4MH3"
68,67,"","2018-07-18 16:50:54.090985",35,"m",3,3,4,6,2,1,2,2,6,2,3,1,1000,999,1000,10,1000,2.75,3.25,3,0.001,-1,0.999,-1,0.01,-1,0.091,0.5,"frequency",1,0,0.739928612014925,500,1000,"1039KX"
69,67,"","2018-07-18 16:54:06.404137",43,"m",2,3,2,6,6,6,6,5,6,1,1,1,1000,99,100,1,100,6,3.25,4.63,0.001,-1,0.99,-1,0.01,-1,0.09,0.09,"frequency",1,1,0,1,11,"663OER"
70,68,"null","2018-07-18 16:55:22.203637",24,"f",3,4,3,4,5,4,5,4,4,3,2,48,50,25,50,20,50,4.5,3.25,3.88,0.96,-1,0.5,-1,0.4,-1,0.968,0.9,"frequency",1,0,0.0316328478690688,90,100,"9XGI6Y"
71,69,"","2018-07-18 16:57:53.524478",41,"m",2,3,2,5,5,5,5,6,6,1,1,3,88,25,NA,NA,NA,5,3.5,4.25,0.03,-1,0.88,-1,0.25,-1,0.098,0.88,"probability",2,0,0.953256596457674,88,NA,"I7M1BV"
72,71,"","2018-07-18 16:59:46.190070",36,"f",4,2,2,3,3,4,5,5,4,3,1,8,80,27,NA,NA,NA,3.75,3.25,3.5,0.08,-1,0.8,-1,0.27,-1,0.205,0.08,"probability",2,0,0.408663874063811,8,NA,"8DVNOM"
73,73,"null","2018-07-18 17:03:32.397100",24,"m",3,2,1,2,2,4,1,6,6,1,2,5,25,90,100,25,100,2.25,3.75,3,0.2,-1,0.9,-1,0.25,-1,0.474,0.18,"frequency",1,0,0.420505836570779,180,1000,"LAA8N1"
74,72,"","2018-07-18 17:06:42.255891",40,"m",4,4,3,3,4,4,4,4,3,5,3,10,100,15,100,25,100,3.75,3.75,3.75,0.1,-1,0.15,-1,0.25,-1,0.063,0.15,"frequency",1,0,0.376750709602099,15,100,"JM3QNP"
75,74,"","2018-07-18 17:10:25.381698",41,"f",4,2,1,5,5,6,6,6,6,6,1,27,30,20,NA,NA,NA,5.5,4.75,5.13,0.27,-1,0.3,-1,0.2,-1,0.357,0.27,"probability",2,0,0.121304451953206,27,NA,"7XDIRV"
76,76,"295131851f8119b3","2018-07-18 17:12:53.145960",41,"f",4,2,1,6,6,6,6,6,6,6,1,27,73,27,NA,NA,NA,6,4.75,5.38,0.27,-1,0.73,-1,0.27,-1,0.5,0.27,"probability",2,0,0.267606240177031,27,NA,"R204OV"
77,75,"","2018-07-18 17:13:00.018716",33,"m",4,4,3,4,4,2,3,6,3,4,2,25,30,50,NA,NA,NA,3.25,3.75,3.5,0.25,-1,0.3,-1,0.5,-1,0.167,0.5,"probability",2,0,0.476253533188435,50,NA,"OXIBN8"
78,74,"","2018-07-18 17:16:25.612541",45,"f",3,3,1,2,2,4,5,5,2,5,2,1,100,75,100,30,100,3.25,3.5,3.38,0.01,-1,0.75,-1,0.3,-1,0.025,0.67,"frequency",1,0,1.42813479402879,670,1000,"CAIQK8"
79,79,"","2018-07-18 17:19:24.787155",33,"f",1,2,5,2,3,4,4,3,2,1,3,3,33,3,33,4,44,3.25,2.25,2.75,0.091,-1,0.091,-1,0.091,-1,0.091,0.07,"frequency",1,0,0.113943352306837,3,44,"KW52VR"
80,80,"","2018-07-18 17:23:45.589560",30,"f",2,4,4,3,4,1,1,6,5,6,2,5,10,15,NA,NA,NA,2.25,4.75,3.5,0.05,-1,0.1,-1,0.15,-1,0.034,0.1,"probability",2,0,0.468521082957745,10,NA,"HK5FCT"
81,80,"","2018-07-18 17:24:07.175057",25,"m",3,4,3,5,3,4,5,5,5,3,2,13,50,50,NA,NA,NA,4.25,3.75,4,0.13,-1,0.5,-1,0.5,-1,0.13,0.5,"probability",2,0,0.585026652029182,50,NA,"081ZOX"
82,82,"","2018-07-18 17:34:05.435263",28,"f",3,2,1,5,5,5,5,6,5,5,2,5,73,27,NA,NA,NA,5,4.5,4.75,0.05,-1,0.73,-1,0.27,-1,0.125,0.04,"probability",2,0,0.494850021680094,4,NA,"4SAPPT"
83,83,"","2018-07-18 17:37:57.996464",25,"f",3,3,1,4,4,5,5,3,4,3,2,3,5,2,5,2,5,4.5,3,3.75,0.6,-1,0.4,-1,0.4,-1,0.6,0.6,"frequency",1,1,0,3,5,"FVDO7P"
84,83,"","2018-07-18 17:41:07.772050",37,"m",4,3,1,4,5,5,5,5,1,5,2,5,85,20,NA,NA,NA,4.75,3.25,4,0.05,-1,0.85,-1,0.2,-1,0.183,0.85,"probability",2,0,0.666967835983863,85,NA,"8D2BVD"
85,84,"null","2018-07-18 17:41:41.232880",47,"f",2,2,3,1,1,3,4,6,6,1,1,10,80,27,NA,NA,NA,2.25,3.5,2.88,0.1,-1,0.8,-1,0.27,-1,0.248,0.1,"probability",2,0,0.394451680826216,10,NA,"55N2IG"
86,83,"","2018-07-18 17:42:43.638970",25,"m",3,2,2,3,3,3,4,5,4,3,2,10,85,15,NA,NA,NA,3.25,3.5,3.38,0.1,-1,0.85,-1,0.15,-1,0.386,0.85,"probability",2,0,0.342831621042538,85,NA,"EA1WIG"
87,83,"","2018-07-18 17:43:41.433011",62,"f",4,1,1,5,5,5,5,6,4,4,1,2,1,1,NA,NA,NA,5,3.75,4.38,0.02,-1,0.01,-1,0.01,-1,0.02,0.02,"probability",2,1,0,2,NA,"WSD6CY"
88,86,"","2018-07-18 17:45:23.410411",44,"f",3,2,1,3,5,6,6,3,4,2,3,1,10,1,3,1,4,5,3,4,0.1,-1,0.333,-1,0.25,-1,0.129,0.02,"frequency",1,0,0.809559714635268,1,50,"5S4U2H"
89,89,"","2018-07-18 17:49:41.815087",27,"f",3,2,1,5,5,3,3,2,1,6,3,3,100,3,100,27,100,4,3,3.5,0.03,-1,0.03,-1,0.27,-1,0.003,0,"frequency",1,1,0,1,1000,"9AER0S"
90,90,"","2018-07-18 17:54:20.325281",54,"f",2,3,2,5,5,6,6,5,6,1,2,15,73,27,NA,NA,NA,5.5,3.5,4.5,0.15,-1,0.73,-1,0.27,-1,0.323,0.73,"probability",2,0,0.354120337789353,73,NA,"HUD0NY"
91,90,"","2018-07-18 17:55:51.699487",35,"f",4,3,1,3,4,5,6,4,5,1,2,10,80,20,NA,NA,NA,4.5,3,3.75,0.1,-1,0.8,-1,0.2,-1,0.308,0.2,"probability",2,0,0.187520720836463,20,NA,"BPK81G"
92,91,"","2018-07-18 17:56:42.470435",26,"f",3,4,2,1,4,6,6,6,6,1,2,1,5,1,300,1,10,4.25,3.75,4,0.2,-1,0.003,-1,0.1,-1,0.007,0.1,"frequency",1,0,1.15490195998574,1,10,"ID3VPA"
93,91,"null","2018-07-18 18:00:34.448764",27,"f",3,4,1,2,2,4,2,6,2,5,3,27,20,80,NA,NA,NA,2.5,4,3.25,0.27,-1,0.2,-1,0.8,-1,0.085,0.73,"probability",2,0,0.933903934406163,73,NA,"YE8RKN"
94,93,"","2018-07-18 18:02:58.938711",28,"f",2,3,3,4,4,4,4,4,4,4,3,5,50,50,NA,NA,NA,4,3.75,3.88,0.05,-1,0.5,-1,0.5,-1,0.05,0.95,"probability",2,0,1.27875360095283,95,NA,"CROLVM"
95,91,"","2018-07-18 18:03:30.224272",24,"m",3,3,3,6,5,5,6,6,5,5,1,4,10,3,10,8,10,5.5,4.25,4.88,0.4,-1,0.3,-1,0.8,-1,0.2,0.3,"frequency",1,0,0.176091259055681,3,10,"JI5DUK"
96,93,"","2018-07-18 18:05:06.573823",45,"f",2,3,2,1,3,6,5,1,1,6,3,5,5,15,NA,NA,NA,3.75,2.75,3.25,0.05,-1,0.05,-1,0.15,-1,0.017,0.05,"probability",2,0,0.468521082957745,5,NA,"QY9C1O"
97,94,"","2018-07-18 18:08:38.077755",65,"f",4,3,1,4,5,5,6,6,6,4,1,5,98,10,NA,NA,NA,5,4.25,4.63,0.05,-1,0.98,-1,0.1,-1,0.34,0.05,"probability",2,0,0.832508912706236,5,NA,"X6LZ4V"
98,95,"","2018-07-18 18:08:57.292044",68,"f",3,2,2,1,1,6,5,6,4,1,1,8,82,1,NA,NA,NA,3.25,3,3.13,0.08,-1,0.82,-1,0.01,-1,0.877,0.5,"probability",2,0,0.244029589030022,50,NA,"P3GC34"
99,97,"","2018-07-18 18:10:04.173636",30,"f",4,3,1,2,5,5,5,3,1,6,3,27,100,100,100,90,100,4.25,3.25,3.75,0.27,-1,1,-1,0.9,-1,0.291,0.27,"frequency",1,0,0.0325292248269199,270,1000,"F0Y2H4"
100,96,"","2018-07-18 18:10:57.892438",55,"f",3,3,2,3,3,4,4,4,5,5,2,1,100,88,100,27,100,3.5,4,3.75,0.01,-1,0.88,-1,0.27,-1,0.032,0.5,"frequency",1,0,1.19382002601611,50,100,"IGLEU1"
101,97,"","2018-07-18 18:12:57.084957",66,"m",3,4,2,5,5,6,6,6,5,5,2,27,100,27,NA,NA,NA,5.5,4.5,5,0.27,-1,1,-1,0.27,-1,0.578,1,"probability",2,0,0.238072161579471,100,NA,"T6UM2I"
