"id","PID","ucivit_id","date/time","age","gender","education","alarm","fire","fractions","percent","tip","shirt","newspaper","prob1","prob2","howoften","input1","input2","input3","input4","input5","input6","sub_n1","sub_n2","numeracy","baserate","baserate_avg","true_positive","true_positive_avg","false_alarm","false_alarm_avg","correct_answer","given_answer","numerical_format","condition","correctness","bias_error","answer1","answer2","amazon_codex"
"29","27","","2018-07-25 16:04:15.129653","51","m","3","4","2","4","5","5","5","5","4","3","2","5","98","2","NA","NA","NA","4.75","3.5","4.13","0.05","-1.0","0.98","-1.0","0.02","-1.0","0.721","0.06","probability","2","0","1.07978401433579","6","NA","YENKTI"
"30","30","9c09ef8d6e4bbcfe","2018-07-25 16:10:18.995653","27","m","3","1","1","1","4","6","2","2","4","2","1","6","10","56","NA","NA","NA","3.25","2.25","2.75","0.06","-1.0","0.1","-1.0","0.56","-1.0","0.011","0.49","probability","2","0","1.64880339487029","49","NA","X4AFNX"
"31","30","","2018-07-25 16:10:40.099097","43","m","3","2","2","4","5","5","5","4","5","2","2","5","98","7","NA","NA","NA","4.75","3.25","4.0","0.05","-1.0","0.98","-1.0","0.07","-1.0","0.424","0.98","probability","2","0","0.363860219099762","98","NA","VV1BWJ"
"32","32","","2018-07-25 16:24:22.230469","35","m","3","3","2","3","6","5","4","4","6","1","1","10","25","75","NA","NA","NA","4.5","3.0","3.75","0.1","-1.0","0.25","-1.0","0.75","-1.0","0.036","0.05","probability","2","0","0.142667503568732","5","NA","92CADJ"
"33","32","","2018-07-25 16:26:16.014311","45","f","2","3","1","2","5","5","5","2","5","5","3","27","68","80","NA","NA","NA","4.25","3.75","4.0","0.27","-1.0","0.68","-1.0","0.8","-1.0","0.239","0.68","probability","2","0","0.454111011758099","68","NA","UH8XZM"
"34","32","","2018-07-25 16:26:56.310027","41","m","3","3","4","4","5","5","5","5","5","6","2","65","80","75","NA","NA","NA","4.75","4.5","4.63","0.65","-1.0","0.8","-1.0","0.75","-1.0","0.665","0.8","probability","2","0","0.080268341688839","80","NA","NDCVYE"
"35","35","","2018-07-25 16:30:43.127139","35","m","3","3","3","2","5","1","1","2","1","1","1","1","99","50","NA","NA","NA","2.25","1.25","1.75","0.01","-1.0","0.99","-1.0","0.5","-1.0","0.02","0.1","probability","2","0","0.698970004336019","10","NA","R7DCJ8"
"36","36","null","2018-07-25 16:39:46.912760","21","f","2","4","2","5","5","5","6","6","6","6","1","31","15","85","NA","NA","NA","5.25","4.75","5.0","0.31","-1.0","0.15","-1.0","0.85","-1.0","0.073","0.15","probability","2","0","0.312768398935225","15","NA","HXI8TA"
"37","36","","2018-07-25 16:42:53.018331","56","f","4","3","2","1","3","5","5","4","5","4","3","2","99","98","NA","NA","NA","3.5","4.0","3.75","0.02","-1.0","0.99","-1.0","0.98","-1.0","0.02","0.02","probability","2","1","0.0","2","NA","NDC6LJ"
"38","38","","2018-07-25 16:50:47.612778","40","f","3","3","2","5","5","5","5","5","2","2","2","10","70","20","NA","NA","NA","5.0","2.75","3.88","0.1","-1.0","0.7","-1.0","0.2","-1.0","0.28","0.07","probability","2","0","0.602059991327962","7","NA","D8EY12"
"39","38","","2018-07-25 16:52:08.601050","32","f","3","2","1","5","5","5","5","5","5","2","2","5","95","90","NA","NA","NA","5.0","3.5","4.25","0.05","-1.0","0.95","-1.0","0.9","-1.0","0.053","0.95","probability","2","0","1.25344773568806","95","NA","B6CGU8"
"40","40","500b6e5f8757a17f","2018-07-25 16:58:53.204240","34","f","2","4","1","3","3","5","5","3","2","4","3","20","90","30","NA","NA","NA","4.0","3.0","3.5","0.2","-1.0","0.9","-1.0","0.3","-1.0","0.429","0.9","probability","2","0","0.321785217254601","90","NA","KNF36B"
"41","41","","2018-07-25 17:09:02.318395","27","m","4","1","1","4","3","3","4","5","3","4","1","65","75","70","NA","NA","NA","3.5","3.25","3.38","0.65","-1.0","0.75","-1.0","0.7","-1.0","0.666","0.75","probability","2","0","0.051587034221399","75","NA","94DOV6"
"42","41","","2018-07-25 17:12:04.333532","31","m","3","3","1","4","4","5","5","4","6","1","2","2","90","95","NA","NA","NA","4.5","3.25","3.88","0.02","-1.0","0.9","-1.0","0.95","-1.0","0.019","0.02","probability","2","1","0.0222763947111522","2","NA","H9QXVO"
"43","43","","2018-07-25 17:16:22.889071","71","m","3","2","1","5","5","5","5","6","6","1","3","20","95","5","NA","NA","NA","5.0","4.0","4.5","0.2","-1.0","0.95","-1.0","0.05","-1.0","0.826","0.2","probability","2","0","0.615950051656401","20","NA","88B88Z"
"44","44","","2018-07-25 17:31:10.906885","30","f","3","3","1","2","3","4","3","4","3","5","4","15","15","25","NA","NA","NA","3.0","4.0","3.5","0.15","-1.0","0.15","-1.0","0.25","-1.0","0.096","0.25","probability","2","0","0.415668775632469","25","NA","83ZX4Z"
"45","45","","2018-07-25 17:35:43.640699","30","m","2","3","1","5","6","5","6","6","5","6","1","10","85","25","NA","NA","NA","5.5","4.5","5.0","0.1","-1.0","0.85","-1.0","0.25","-1.0","0.274","1.0","probability","2","0","0.562249437179612","100","NA","CP6JHU"
"46","46","","2018-07-25 17:42:38.502105","30","f","3","4","1","4","5","6","6","5","6","2","1","10","10","85","NA","NA","NA","5.25","3.5","4.38","0.1","-1.0","0.1","-1.0","0.85","-1.0","0.013","0.1","probability","2","0","0.886056647693163","10","NA","X9C6GR"
"47","47","","2018-07-25 18:10:23.772396","55","m","3","3","3","4","4","5","6","2","4","4","2","25","10","70","NA","NA","NA","4.75","3.0","3.88","0.25","-1.0","0.1","-1.0","0.7","-1.0","0.045","0.1","probability","2","0","0.346787486224656","10","NA","69P5HX"
"48","47","","2018-07-25 18:12:10.354091","37","f","4","2","3","5","6","6","6","3","1","1","2","27","2","3","NA","NA","NA","5.75","1.75","3.75","0.27","-1.0","0.02","-1.0","0.03","-1.0","0.198","0.98","probability","2","0","0.694560885430964","98","NA","PGQYOI"
"49","49","0a6867a975bf7bd2","2018-07-25 18:26:30.054209","33","m","4","2","3","4","3","6","3","6","3","4","4","45","36","67","NA","NA","NA","4.0","4.25","4.13","0.45","-1.0","0.36","-1.0","0.67","-1.0","0.305","0.38","probability","2","0","0.0954837572700243","38","NA","RQXAWA"
"50","50","null","2018-07-25 18:31:24.194392","45","f","3","5","3","4","4","5","6","4","6","5","3","43","78","12","NA","NA","NA","4.75","4.5","4.63","0.43","-1.0","0.78","-1.0","0.12","-1.0","0.831","0.34","probability","2","0","0.388122106741856","34","NA","LG718K"
"51","50","","2018-07-25 18:31:29.326604","59","f","2","4","3","1","1","5","5","2","2","5","3","50","10","90","NA","NA","NA","3.0","3.0","3.0","0.5","-1.0","0.1","-1.0","0.9","-1.0","0.1","0.1","probability","2","1","0.0","10","NA","YN370C"
"52","52","","2018-07-25 18:33:57.063068","28","f","2","3","1","1","1","1","1","3","3","1","5","40","30","55","NA","NA","NA","1.0","3.0","2.0","0.4","-1.0","0.3","-1.0","0.55","-1.0","0.267","0.55","probability","2","0","0.313851428129669","55","NA","0LW0LJ"
"53","50","","2018-07-25 18:37:00.915971","58","f","2","3","2","5","5","6","6","5","5","1","1","10","10","80","NA","NA","NA","5.5","3.0","4.25","0.1","-1.0","0.1","-1.0","0.8","-1.0","0.014","0.1","probability","2","0","0.853871964321762","10","NA","TGNS3O"
"54","54","c75c49e4596ba6be","2018-07-25 18:54:28.741067","28","m","3","4","2","6","6","6","6","6","6","1","1","5","25","75","NA","NA","NA","6.0","3.5","4.75","0.05","-1.0","0.25","-1.0","0.75","-1.0","0.017","0.01","probability","2","1","0.230448921378274","1","NA","E2JMT8"
"55","55","","2018-07-25 19:12:30.602227","57","f","4","2","1","3","4","6","6","5","5","1","2","5","90","90","NA","NA","NA","4.75","3.25","4.0","0.05","-1.0","0.9","-1.0","0.9","-1.0","0.05","0.9","probability","2","0","1.25527250510331","90","NA","MNZT1U"
"56","56","","2018-07-25 19:26:26.352902","36","f","3","3","3","4","4","5","2","5","2","2","2","15","80","20","NA","NA","NA","3.75","2.75","3.25","0.15","-1.0","0.8","-1.0","0.2","-1.0","0.414","0.8","probability","2","0","0.286089645871045","80","NA","MJ0JFD"
"57","56","","2018-07-25 19:29:29.399885","53","f","2","2","1","1","2","2","2","4","5","2","1","10","30","30","NA","NA","NA","1.75","3.0","2.38","0.1","-1.0","0.3","-1.0","0.3","-1.0","0.1","0.3","probability","2","0","0.477121254719662","30","NA","355H46"
"58","58","","2018-07-25 19:43:54.750917","29","f","3","2","2","4","5","5","5","5","5","5","1","27","7","20","NA","NA","NA","4.75","4.0","4.38","0.27","-1.0","0.07","-1.0","0.2","-1.0","0.115","0.07","probability","2","0","0.215599800339355","7","NA","GCAALB"
"59","59","","2018-07-25 19:56:40.095046","36","f","2","1","4","1","1","1","1","6","1","6","6","50","80","10","NA","NA","NA","1.0","4.75","2.88","0.5","-1.0","0.8","-1.0","0.1","-1.0","0.889","0.1","probability","2","0","0.948901760970214","10","NA","AZ4CGR"
"60","59","","2018-07-25 19:57:42.776007","27","m","2","2","2","1","1","1","1","4","6","1","3","30","5","30","NA","NA","NA","1.0","3.5","2.25","0.3","-1.0","0.05","-1.0","0.3","-1.0","0.067","0.5","probability","2","0","0.872895201635192","50","NA","E7J6OP"
"61","59","","2018-07-25 19:58:18.644525","35","m","3","2","2","5","5","5","5","5","5","5","1","1","0","99","NA","NA","NA","5.0","4.0","4.5","0.01","-1.0","0.0","-1.0","0.99","-1.0","0.0","0.0","probability","2","1","0.0","0","NA","3VDSUJ"
"62","62","","2018-07-25 20:32:19.866353","42","f","2","3","2","4","4","6","6","4","3","1","2","10","90","5","NA","NA","NA","5.0","2.5","3.75","0.1","-1.0","0.9","-1.0","0.05","-1.0","0.667","0.9","probability","2","0","0.130116675522776","90","NA","UKHXEU"
"63","63","","2018-07-25 20:38:00.367410","44","m","4","2","1","1","1","5","2","2","1","6","3","11","60","80","NA","NA","NA","2.25","3.0","2.63","0.11","-1.0","0.6","-1.0","0.8","-1.0","0.085","0.25","probability","2","0","0.468521082957745","25","NA","4WKZS1"
"64","63","","2018-07-25 20:39:19.495983","36","f","3","2","1","2","3","3","5","4","3","4","3","027","27","27","NA","NA","NA","3.25","3.5","3.38","0.27","-1.0","0.27","-1.0","0.27","-1.0","0.27","0.27","probability","2","1","0.0","27","NA","WWMEUJ"
"65","65","7c71e6045e94b971","2018-07-25 21:51:33.289837","32","m","2","2","3","2","3","3","5","3","2","2","4","2","3","4","NA","NA","NA","3.25","2.75","3.0","0.02","-1.0","0.03","-1.0","0.04","-1.0","0.015","1.0","probability","2","0","1.82390874094432","100","NA","IFCPTG"
"66","65","","2018-07-25 21:51:41.860472","32","f","2","4","2","1","1","2","2","3","4","4","5","45","50","90","NA","NA","NA","1.5","4.0","2.75","0.45","-1.0","0.5","-1.0","0.9","-1.0","0.312","0.4","probability","2","0","0.10790539730952","40","NA","6JU0HL"
"67","67","ae7d9d70a83cdd7e","2018-07-25 21:58:13.015456","29","m","3","2","2","6","6","6","6","6","6","6","1","1","20","20","NA","NA","NA","6.0","4.75","5.38","0.01","-1.0","0.2","-1.0","0.2","-1.0","0.01","0.2","probability","2","0","1.30102999566398","20","NA","GVL02Y"
"68","68","","2018-07-25 22:57:52.978636","50","f","2","4","1","2","4","4","4","5","4","4","3","5","90","27","NA","NA","NA","3.5","4.0","3.75","0.05","-1.0","0.9","-1.0","0.27","-1.0","0.149","0.9","probability","2","0","0.781056241027051","90","NA","6IVUJK"
"69","69","","2018-07-25 23:10:41.089540","26","f","3","3","2","4","5","6","6","5","5","6","1","20","60","75","NA","NA","NA","5.25","4.25","4.75","0.2","-1.0","0.6","-1.0","0.75","-1.0","0.167","0.2","probability","2","0","0.0783135245163979","20","NA","SNKNTG"
"70","70","","2018-07-26 00:02:17.583864","52","m","2","2","2","4","4","5","4","5","5","1","2","2","95","15","NA","NA","NA","4.25","3.25","3.75","0.02","-1.0","0.95","-1.0","0.15","-1.0","0.114","0.01","probability","2","0","1.05690485133647","1","NA","RFT6VL"
"71","71","c80ec269f9db5254","2018-07-26 00:09:37.258236","20","m","2","3","2","4","4","4","4","4","4","4","3","20","14","36","NA","NA","NA","4.0","3.75","3.88","0.2","-1.0","0.14","-1.0","0.36","-1.0","0.089","0.14","probability","2","0","0.196738029033325","14","NA","UABTY5"
"72","72","","2018-07-26 01:23:25.195991","32","m","4","2","2","3","3","4","4","4","1","1","2","12","5","15","NA","NA","NA","3.5","2.0","2.75","0.12","-1.0","0.05","-1.0","0.15","-1.0","0.043","0.06","probability","2","0","0.144682794804057","6","NA","5RXOXV"
"73","73","","2018-07-26 01:28:52.331406","27","f","3","4","2","3","4","3","5","4","5","5","2","1","1","50","NA","NA","NA","3.75","4.0","3.88","0.01","-1.0","0.01","-1.0","0.5","-1.0","0.0","0.01","probability","2","1","0.0","1","NA","UBAQ0R"
"74","74","null","2018-07-26 01:41:56.259898","41","f","4","3","1","3","3","3","3","6","6","1","1","10","95","45","NA","NA","NA","3.0","3.5","3.25","0.1","-1.0","0.95","-1.0","0.45","-1.0","0.19","0.1","probability","2","0","0.278753600952829","10","NA","AN5QSS"
"75","75","","2018-07-26 01:51:50.105216","19","m","2","3","1","4","5","5","5","6","4","1","2","20","90","10","NA","NA","NA","4.75","3.25","4.0","0.2","-1.0","0.9","-1.0","0.1","-1.0","0.692","0.9","probability","2","0","0.114136414982567","90","NA","ZG2VH8"
"76","76","","2018-07-26 02:00:42.747967","53","f","4","2","2","6","6","6","6","6","6","1","1","3","85","27","NA","NA","NA","6.0","3.5","4.75","0.03","-1.0","0.85","-1.0","0.27","-1.0","0.089","0.85","probability","2","0","0.98002891906938","85","NA","PW1LB7"
"77","77","","2018-07-26 02:24:41.103000","34","f","4","2","2","4","5","5","5","4","3","1","2","5","75","90","NA","NA","NA","4.75","2.5","3.63","0.05","-1.0","0.75","-1.0","0.9","-1.0","0.042","0.75","probability","2","0","1.2518119729938","75","NA","IO8QT0"
"78","78","","2018-07-26 03:07:59.172288","38","f","4","2","2","6","6","6","6","5","5","1","1","5","95","95","NA","NA","NA","6.0","3.0","4.5","0.05","-1.0","0.95","-1.0","0.95","-1.0","0.05","0.95","probability","2","0","1.27875360095283","95","NA","PJ5HT0"
"79","79","","2018-07-26 03:43:11.709995","30","m","3","3","1","5","5","4","5","5","4","3","2","27","1","99","NA","NA","NA","4.75","3.5","4.13","0.27","-1.0","0.01","-1.0","0.99","-1.0","0.004","0.01","probability","2","1","0.397940008672038","1","NA","95E5XT"
"80","80","","2018-07-26 03:49:06.994236","45","m","2","3","3","2","2","5","5","4","6","1","1","2","2","3","NA","NA","NA","3.5","3.0","3.25","0.02","-1.0","0.02","-1.0","0.03","-1.0","0.013","0.02","probability","2","1","0.187086643357144","2","NA","6ZTWTT"
"81","80","","2018-07-26 03:50:18.874643","46","f","3","2","2","2","3","4","4","3","1","4","3","10","90","20","NA","NA","NA","3.25","2.75","3.0","0.1","-1.0","0.9","-1.0","0.2","-1.0","0.333","0.9","probability","2","0","0.431798275933005","90","NA","GABOIP"
"82","82","","2018-07-26 03:58:43.925662","29","f","2","3","2","5","5","5","5","6","5","5","1","27","80","50","NA","NA","NA","5.0","4.25","4.63","0.27","-1.0","0.8","-1.0","0.5","-1.0","0.372","0.2","probability","2","0","0.269512944217916","20","NA","XD1B2G"
"83","83","","2018-07-26 04:12:09.029348","43","f","3","3","3","5","5","6","6","5","5","5","1","10","5","25","NA","NA","NA","5.5","4.0","4.75","0.1","-1.0","0.05","-1.0","0.25","-1.0","0.022","0.05","probability","2","0","0.356547323513813","5","NA","CP2CYK"
"84","83","","2018-07-26 04:12:15.050990","23","f","3","3","3","3","3","4","5","6","6","1","1","27","27","10","NA","NA","NA","3.75","3.5","3.63","0.27","-1.0","0.27","-1.0","0.1","-1.0","0.5","0.27","probability","2","0","0.267606240177031","27","NA","NN2JQM"
"85","83","","2018-07-26 04:14:01.464405","23","f","2","5","3","4","4","6","5","3","5","1","1","5","25","75","NA","NA","NA","4.75","2.5","3.63","0.05","-1.0","0.25","-1.0","0.75","-1.0","0.017","0.25","probability","2","0","1.16749108729376","25","NA","UNHOBV"
"86","86","","2018-07-26 04:20:56.057230","25","f","2","4","1","4","3","3","3","5","6","6","1","10","10","30","NA","NA","NA","3.25","4.5","3.88","0.1","-1.0","0.1","-1.0","0.3","-1.0","0.036","0.1","probability","2","0","0.443697499232713","10","NA","9ZH5B2"
"87","87","41a4462606842c2b","2018-07-26 04:53:11.971329","33","f","4","3","3","4","4","4","4","3","3","4","3","25","25","25","NA","NA","NA","4.0","3.25","3.63","0.25","-1.0","0.25","-1.0","0.25","-1.0","0.25","1.0","probability","2","0","0.602059991327962","100","NA","UYYXLB"
"88","87","","2018-07-26 04:54:28.561276","39","m","3","2","1","6","6","6","6","4","6","2","1","5","95","20","NA","NA","NA","6.0","3.25","4.63","0.05","-1.0","0.95","-1.0","0.2","-1.0","0.2","0.87","probability","2","0","0.638489256954637","87","NA","5VX4AB"
"89","87","null","2018-07-26 04:55:15.467679","19","f","2","3","2","5","5","3","3","3","4","2","2","27","100","30","NA","NA","NA","4.0","2.75","3.38","0.27","-1.0","1.0","-1.0","0.3","-1.0","0.552","1.0","probability","2","0","0.258060922270801","100","NA","7V9JG2"
"90","89","f73683389326ad5c","2018-07-26 04:57:07.450143","33","m","4","4","5","5","6","3","4","6","5","6","1","25","35","50","NA","NA","NA","4.5","4.5","4.5","0.25","-1.0","0.35","-1.0","0.5","-1.0","0.189","0.35","probability","2","0","0.267606240177031","35","NA","P54BSD"
"91","91","null","2018-07-26 05:22:39.449574","34","m","3","5","1","4","4","5","5","5","4","5","1","10","60","40","NA","NA","NA","4.5","3.75","4.13","0.1","-1.0","0.6","-1.0","0.4","-1.0","0.143","0.6","probability","2","0","0.622815212918582","60","NA","ZU7JOD"
"92","91","","2018-07-26 05:34:20.132997","48","f","3","1","1","6","6","6","6","5","4","5","2","70","70","20","NA","NA","NA","6.0","4.0","5.0","0.7","-1.0","0.7","-1.0","0.2","-1.0","0.891","0.7","probability","2","0","0.104779664022618","70","NA","H5VEH3"
"93","86","","2018-07-26 06:59:44.171038","33","f","2","2","1","5","5","4","4","6","6","1","1","40","70","85","NA","NA","NA","4.5","3.5","4.0","0.4","-1.0","0.7","-1.0","0.85","-1.0","0.354","0.28","probability","2","0","0.101845230683569","28","NA","97M55X"
